[START] Training begun at 23:14:02 | 16 parallel envs | MaskablePPO + GPU
[ 80.0%]  1,600,000/2,000,000 |    513s | 3,116 fps | ETA 128s
[ 81.0%]  1,620,000/2,000,000 |    521s | 3,108 fps | ETA 122s
[ 82.0%]  1,640,000/2,000,000 |    529s | 3,100 fps | ETA 116s
[ 83.0%]  1,660,000/2,000,000 |    533s | 3,112 fps | ETA 109s
[ 84.0%]  1,680,000/2,000,000 |    542s | 3,102 fps | ETA 103s
[ 85.0%]  1,700,000/2,000,000 |    546s | 3,116 fps | ETA 96s
[ 86.0%]  1,720,000/2,000,000 |    553s | 3,110 fps | ETA 90s
[ 87.0%]  1,740,000/2,000,000 |    561s | 3,104 fps | ETA 84s
[ 88.0%]  1,760,000/2,000,000 |    565s | 3,117 fps | ETA 77s
[ 89.0%]  1,780,000/2,000,000 |    572s | 3,111 fps | ETA 71s
[ 90.0%]  1,800,000/2,000,000 |    576s | 3,123 fps | ETA 64s
[ 91.0%]  1,820,000/2,000,000 |    584s | 3,116 fps | ETA 58s
[ 92.0%]  1,840,000/2,000,000 |    592s | 3,109 fps | ETA 51s
[ 93.0%]  1,860,000/2,000,000 |    596s | 3,121 fps | ETA 45s
[ 94.0%]  1,880,000/2,000,000 |    604s | 3,115 fps | ETA 39s
[ 95.0%]  1,900,000/2,000,000 |    607s | 3,128 fps | ETA 32s
[ 96.0%]  1,920,000/2,000,000 |    615s | 3,124 fps | ETA 26s
[ 97.0%]  1,940,000/2,000,000 |    622s | 3,120 fps | ETA 19s
[ 98.0%]  1,960,000/2,000,000 |    626s | 3,131 fps | ETA 13s
[ 99.0%]  1,980,000/2,000,000 |    634s | 3,125 fps | ETA 6s
[100.0%]  2,000,000/2,000,000 |    641s | 3,120 fps | ETA 0s
[101.0%]  2,020,000/2,000,000 |    645s | 3,132 fps | ETA -6s
[DONE] Training complete in 651s (10.9 min)
